,Price,Year,Mileage,Tank capacity,Fuel type,Model,Estimation
529,17900,2010,194500,1198,1,35,2
530,12900,2004,270000,1896,7,47,3
531,92900,2017,147000,1968,7,44,2
532,69999,2017,237000,1598,7,16,0
533,191880,2019,51162,1984,1,16,0
534,85900,2016,56000,1968,7,10,3
535,66500,2014,109000,1968,7,16,2
536,8500,2004,366000,1896,7,32,2
537,11600,2005,156000,1198,1,35,3
538,35900,2009,257000,1968,7,32,2
539,39900,2013,207000,1598,7,16,0
540,23999,2005,140000,1595,1,16,0
541,130500,2022,3000,1498,1,41,2
542,46899,2017,175000,1968,7,7,2
543,27300,2009,148000,1595,1,16,3
544,26900,2009,193000,1595,1,16,3
545,88000,2017,140000,1968,7,32,2
546,23900,2014,151000,999,1,35,2
547,57000,2018,109000,1798,1,16,0
548,19300,2009,345000,1968,7,32,2
549,55900,2011,191600,1968,7,44,3
550,12900,2006,297206,1968,7,32,2
551,14999,2005,231212,1984,1,32,2
552,4000,2000,233000,1984,1,4,0
553,30300,2013,103000,1197,1,35,0
554,72999,2015,175000,1968,7,32,2
555,7600,2003,207000,1198,1,35,2
556,78900,2018,121000,1798,1,32,0
557,9900,2005,390000,1968,7,47,0
558,41000,2014,175000,1598,7,32,2
559,18300,2007,302500,1968,7,39,2
560,22900,2006,240000,1984,1,16,1
561,77900,2017,224000,1968,7,32,3
562,92900,2018,157000,1968,7,32,2
563,79900,2010,198000,1968,7,30,0
564,42800,2013,139000,1197,1,16,2
565,30900,1996,173500,2461,7,30,0
566,7800,1998,189879,1781,1,32,0
567,6600,2004,475000,1968,7,47,0
568,7011,2005,336000,1968,7,47,0
569,162900,2017,98726,1968,7,2,3
570,44900,2016,228000,1968,7,16,2
571,15900,2006,261534,1896,7,16,2
572,12900,2005,299700,1390,1,16,3
573,55555,2016,197111,1968,7,16,2
574,24900,2012,296000,1598,7,32,1
575,6999,2004,279000,1896,7,47,0
576,119000,2017,117000,1984,1,2,2
577,36900,2017,64000,999,1,35,2
578,98277,2017,203000,1968,7,48,2
579,50900,2011,169000,1968,7,44,2
580,84999,2018,16055,1395,1,4,2
581,7300,2002,287680,1896,7,32,2
582,11900,2004,200000,1390,1,16,0
583,47900,2015,185111,1598,7,16,2
584,108900,2018,56500,1395,1,44,2
585,29500,2011,137000,1390,1,16,2
586,16500,2007,185150,1390,1,35,3
587,34900,2008,159794,1390,1,44,2
588,135000,2022,2500,1498,1,47,2
589,32900,2005,395000,2461,7,9,0
590,106460,2023,1,999,1,42,0
591,12900,1993,412228,1896,7,48,0
592,92799,2018,151319,1798,1,47,2
593,31900,2011,171000,1595,2,16,2
594,119900,2018,99326,1984,1,16,2
595,22900,2013,198207,1199,7,35,3
596,266580,2022,8,1968,7,2,0
598,20000,2009,226000,1598,7,16,3
599,49900,2014,324000,1968,7,48,2
600,105900,2017,76100,1984,1,32,2
601,44000,2013,138000,1390,1,32,2
602,62800,2016,166148,1598,7,47,2
603,76000,2017,108233,1798,1,32,2
604,17900,2013,338000,1598,7,32,0
605,37500,2005,396661,2461,7,9,0
606,51900,2016,72956,1598,7,16,2
607,31500,2010,85000,2480,1,4,0
608,87100,2017,72585,1798,1,32,2
609,22500,2009,390000,1968,7,10,2
612,370992,2023,7,1968,7,30,0
613,89900,2012,334000,1968,7,30,0
614,10900,2004,295000,1896,7,32,2
615,6900,1998,230000,1595,1,16,2
616,144900,2021,21000,1498,1,44,2
617,117500,2023,7,999,1,40,0
618,105900,2020,36410,1498,1,16,2
619,6800,2004,375000,1896,7,32,2
620,62900,2018,128482,1598,7,16,2
621,59900,2016,163000,1395,1,32,2
622,8500,2000,171659,1595,1,16,2
623,159900,2022,21738,1984,1,2,1
624,70799,2018,64882,1498,1,16,2
625,89800,2016,165000,1984,1,32,0
626,18400,2004,280000,1896,7,39,3
627,154500,2018,54500,1968,7,9,2
628,109900,2020,35420,1498,1,47,2
629,32000,2008,193850,1390,1,38,3
630,20900,2011,221011,1199,7,35,2
631,57900,2014,100000,1781,1,4,2
632,53900,2014,106172,1968,7,32,3
633,7100,2006,341000,1968,7,32,0
634,72898,2015,145000,1968,7,32,2
635,59000,2015,81500,1968,7,32,1
636,95000,1965,80000,1600,1,27,0
637,82600,2016,99285,1968,7,44,3
638,53900,2015,148455,1395,1,16,2
639,15500,2009,198000,1198,1,35,2
640,25990,2010,246000,1598,7,16,3
641,68100,2016,131962,1968,7,44,2
642,32900,2011,269000,1968,7,25,3
644,99000,2015,249000,1968,7,1,2
646,10900,2007,230000,1198,1,35,1
647,427855,2023,5,1968,7,8,0
648,10900,2006,173000,1198,1,35,2
649,48000,2013,130593,1390,1,16,2
650,46399,2021,4500,1498,1,41,0
651,42500,2017,66372,999,1,35,2
652,104550,2017,105000,1968,7,32,3
653,89900,2018,95546,999,1,41,3
654,27000,2014,126600,1598,7,35,2
655,46800,2008,278300,2500,7,30,0
656,23000,2011,177000,2967,7,46,0
657,57850,2019,111515,1598,7,16,1
658,43000,2015,73000,1395,5,16,0
659,9900,2003,220000,1984,1,32,2
660,18800,2005,217842,1595,1,7,2
661,367647,2023,1,1968,7,8,0
662,9500,2001,206659,1595,1,16,2
663,9500,2003,289819,1896,7,16,0
664,129850,2020,42269,1498,1,44,2
665,16000,2005,183318,1390,2,16,3
